City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Goderich,CA,43.7501,-81.7165,22.91,73,100,24.16,overcast clouds
80,Igarka,RU,67.4667,86.5833,-15.5,99,100,4.52,overcast clouds
81,Xuddur,SO,4.1213,43.8894,67.1,69,18,15.82,few clouds
82,Saint-Pierre,RE,-21.3393,55.4781,76.68,83,100,3.44,overcast clouds
83,Ilulissat,GL,69.2167,-51.1,24.82,74,75,10.36,broken clouds
84,Aklavik,CA,68.2191,-135.0107,-19.37,94,100,10.36,overcast clouds
85,Mweka,CD,-4.85,21.5667,69.26,99,100,1.12,moderate rain
86,Bose,IT,45.4612,8.0137,36.73,57,0,3.0,clear sky
87,Pokhara,NP,28.2333,83.9833,51.82,25,77,6.15,broken clouds
88,Finote Selam,ET,10.7,37.2667,63.21,59,100,1.7,overcast clouds
89,Benguela,AO,-12.5763,13.4055,73.67,84,90,2.35,overcast clouds
90,Doka,SD,13.5167,35.7667,76.62,46,96,13.29,overcast clouds
91,Puerto Penasco,MX,31.3167,-113.5333,66.9,34,100,4.0,overcast clouds
92,Arraial Do Cabo,BR,-22.9661,-42.0278,75.27,90,100,7.65,overcast clouds
93,Santa Cruz,BO,-17.8,-63.1667,76.46,100,40,3.44,scattered clouds
94,Senno,RU,59.5336,33.9167,-13.29,100,100,3.51,overcast clouds
95,Gulariya,NP,28.2333,81.3333,60.19,89,41,4.59,scattered clouds
96,Mayo,US,38.8876,-76.5119,24.94,63,0,1.01,clear sky
97,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,0,9.22,clear sky
98,Lasa,IT,46.6166,10.7002,28.02,44,0,6.76,clear sky
99,Soc Trang,VN,9.6033,105.98,75.16,63,58,15.37,broken clouds
100,Isangel,VU,-19.55,169.2667,84.31,84,75,6.91,broken clouds
101,Dejen,ET,10.1667,38.1333,55.69,72,98,1.86,overcast clouds
102,New Bedford,US,41.6362,-70.9342,14.85,59,0,0.0,clear sky
103,Saskylakh,RU,71.9167,114.0833,-36.45,99,73,5.48,broken clouds
104,Talnakh,RU,69.4865,88.3972,-9.8,98,100,5.95,overcast clouds
105,Nuuk,GL,64.1835,-51.7216,20.01,86,100,8.05,overcast clouds
106,Bourail,NC,-21.5667,165.4833,79.74,81,77,12.77,broken clouds
107,Vendychany,UA,48.6118,27.7932,15.67,83,66,12.82,broken clouds
108,Lompoc,US,34.6391,-120.4579,66.51,49,0,8.05,clear sky
109,Ordzhonikidze,KZ,52.4411,61.7408,10.47,96,100,6.31,overcast clouds
110,College,US,64.8569,-147.8028,6.8,84,100,0.0,light snow
111,Kavaratti,IN,10.5669,72.642,79.3,72,97,13.76,overcast clouds
112,Norman Wells,CA,65.282,-126.8329,-5.76,65,75,16.11,broken clouds
113,Sungaipenuh,ID,-2.0833,101.3833,72.73,72,70,1.14,broken clouds
114,Pevek,RU,69.7008,170.3133,-25.64,97,82,5.3,broken clouds
115,Dingle,PH,10.9995,122.6711,80.11,77,81,13.62,broken clouds
116,Castro,BR,-24.7911,-50.0119,60.24,98,99,2.75,overcast clouds
117,Morlaix,FR,48.5833,-4.0,51.85,100,100,4.61,mist
118,Gombong,ID,-7.6072,109.5142,84.83,76,99,2.13,overcast clouds
119,Trinidad,BO,-14.8333,-64.9,74.03,97,94,3.85,overcast clouds
120,Gat,IL,31.61,34.7642,55.4,46,0,5.59,clear sky
121,Barretos,BR,-20.5572,-48.5678,67.37,95,99,5.99,overcast clouds
122,Bandarbeyla,SO,9.4942,50.8122,75.54,66,40,16.26,scattered clouds
123,Shumyachi,RU,53.8583,32.4242,-3.33,97,45,8.7,scattered clouds
124,Husavik,IS,66.0449,-17.3389,31.91,79,82,21.79,broken clouds
125,Zapolyarnyy,RU,69.4154,30.8136,25.88,91,100,23.55,overcast clouds
126,Vaini,TO,-21.2,-175.2,86.16,94,75,9.22,broken clouds
127,Hermanus,ZA,-34.4187,19.2345,63.9,77,74,13.24,broken clouds
128,Hasaki,JP,35.7333,140.8333,45.28,41,0,25.52,clear sky
129,Punto Fijo,VE,11.6956,-70.1996,77.31,77,68,17.87,broken clouds
130,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,94,40,19.24,scattered clouds
131,Faanui,PF,-16.4833,-151.75,80.55,78,100,12.28,light rain
132,Sangar,RU,63.9242,127.4739,-22.38,96,100,4.27,overcast clouds
133,Pangnirtung,CA,66.1451,-65.7125,-31.45,99,99,3.49,overcast clouds
134,Youkounkoun,GN,12.5333,-13.1333,74.59,18,100,1.86,overcast clouds
135,Cayenne,GF,4.9333,-52.3333,78.1,87,100,1.01,overcast clouds
136,Bengkulu,ID,-3.8004,102.2655,80.55,72,42,2.26,scattered clouds
137,Careiro Da Varzea,BR,-3.2003,-59.8119,81.23,72,99,0.96,light rain
138,Nushki,PK,29.5542,66.0215,42.37,58,74,1.21,broken clouds
139,Nanortalik,GL,60.1432,-45.2371,16.93,74,11,7.85,few clouds
140,Xingyi,CN,24.1877,102.817,53.17,73,99,4.29,overcast clouds
141,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.67,92,100,10.04,overcast clouds
142,Port Hedland,AU,-20.3167,118.5667,100.45,30,64,11.5,broken clouds
143,Haines Junction,CA,60.7522,-137.5108,26.89,96,96,3.06,overcast clouds
144,Zhigalovo,RU,54.8097,105.1578,3.74,93,100,3.8,overcast clouds
145,Berdigestyakh,RU,62.0989,126.6992,-17.01,99,100,1.88,overcast clouds
146,Lebu,CL,-37.6167,-73.65,57.42,89,0,7.9,clear sky
147,Alekseyevsk,RU,57.8406,108.3492,7.59,91,100,10.36,overcast clouds
148,Am Timan,TD,11.0297,20.2827,75.02,26,37,7.9,scattered clouds
